rxnNames	grRules	lb	ub	rev	subSystems	eccodes	rxnNotes	rxnReferences	rxnConfidenceScores	kegg.reaction	kegg.pathway	bigg.reaction	metanetx.reaction	brenda	biocyc	reactome	sabiork.reaction	seed.reactions	rhea
ethyl-benzoate transport		-1000	1000	1			volatile esters and polyphosphate curation	NOTES: added for FA ester pathways (PR #190)	2										
ethyl-benzoate exchange		0	1000	0			volatile esters and polyphosphate curation	NOTES: added for FA ester pathways (PR #190)	2										
ethyl-pyruvate transport		-1000	1000	1			volatile esters and polyphosphate curation	NOTES: added for FA ester pathways (PR #190)	2										
ethyl-pyruvate exchange		0	1000	0			volatile esters and polyphosphate curation	NOTES: added for FA ester pathways (PR #190)	2										
benzyl-acetate transport		-1000	1000	1			volatile esters and polyphosphate curation	NOTES: added for FA ester pathways (PR #190)	2										
benzyl-acetate exchange		0	1000	0			volatile esters and polyphosphate curation	NOTES: added for FA ester pathways (PR #190)	2										
ethyl-isobutyrate transport		-1000	1000	1			volatile esters and polyphosphate curation	NOTES: added for FA ester pathways (PR #190)	2										
ethyl-isobutyrate exchange		0	1000	0			volatile esters and polyphosphate curation	NOTES: added for FA ester pathways (PR #190)	2										
ethyl-2-methylbutyrate transport		-1000	1000	1			volatile esters and polyphosphate curation	NOTES: added for FA ester pathways (PR #190)	2										
ethyl-2-methylbutyrate exchange		0	1000	0			volatile esters and polyphosphate curation	NOTES: added for FA ester pathways (PR #190)	2										
polyphosphate transport, v-c		-1000	1000	1			volatile esters and polyphosphate curation	Required to account for polyphosphate in compartments, a production by membrane complex Vtc4p is unlikely for the mitochondria and nucleus	1										
polyphosphate transport, c-m		-1000	1000	1			volatile esters and polyphosphate curation	Required to account for polyphosphate in compartments, a production by membrane complex Vtc4p is unlikely for the mitochondria and nucleus	1										
polyphosphate transport, c-n		-1000	1000	1			volatile esters and polyphosphate curation	Required to account for polyphosphate in compartments, a production by membrane complex Vtc4p is unlikely for the mitochondria and nucleus	1										
