metNames	comps	formula	charge	inchi	metNotes	kegg.compound	chebi	pubchem.compound	metanetx.chemical	seed.compound	bigg.metabolite	biocyc	envipath	lipidmaps	reactome	sabiork.compound	slm
2-methylacetoacetyl-CoA	m	C26H42N7O18P3S	-4		based on kegg	C03344	CHEBI:15476	193425	MNXM1104585								
ammonium	n	H4N	1		based on kegg	C01342	CHEBI:28938	223			nh4	AMMONIUM					
L-homoserine	n	C4H9NO3	0		based on kegg	C00263	CHEBI:15699	6971022	MNXM353	cpd00227	hom__L	HOMO-SER					
L-aspartate 4-semialdehyde	n	C4H7NO3	0		based on kegg	C00441	CHEBI:18051	5287708	MNXM361	cpd00346	aspsa	L-ASPARTATE-SEMIALDEHYDE					
"4-(2-aminophenyl)-2,4-dioxobutanoate"	m	C10H8NO4	-1		based on kegg	C01252	CHEBI:17442	23615302	MNXM466	cpd00920		CPD-476					
"4-(2-aminophenyl)-2,4-dioxobutanoate"	c	C10H8NO4	-1		based on kegg	C01252	CHEBI:17442	23615302	MNXM466	cpd00920		CPD-476					
amylose	c	C12H22O11	0		based on kegg	C00718	CHEBI:28102		MNXM2905	cpd21754	14glucan	1-4-alpha-D-Glucan					
L-kynurenine	m	C10H12N2O3	0		based on kegg	C00328	CHEBI:16946	161166	MNXM733142								
dimethylallyl phosphate	m	C5H9O4P	-2		based on kegg	C21214	CHEBI:1883	18619099	MNXM101100	cpd17040		CPD-14332					
L-2-aminoadipateadenylate	c	C16H22N6O10P	-1		based on kegg	C00956 	CHEBI:37023	6992111	MNXM268	cpd00705		CPD-468					
guanosine-3'-diphosphate 5'-triphosphate	c	C10H11N5O20P5	-7		based on kegg	C04494	CHEBI:16690	135696843	MNXM1561	cpd02740	gdptp	GDP-TP					
"guanosine-3',5'-bis(diphosphate)"	c	C10H11N5O17P4	-6		based on kegg	C01228	CHEBI:17633	135823789	MNXM1189	cpd00905	ppgpp	GUANOSINE-5DP-3DP					
D-phenylalanine	c	C9H11NO2	0		based on kegg	C02265	CHEBI:16998	6919011	MNXM2365	cpd01526		CPD-216					
N-acetyl-D-phenylalanine	c	C11H13NO3	0		based on kegg	C05620	CHEBI:28203	101184	MNXM8908								
1-(5'-phosphoribosyl)-5-amino-4-imidazolecarboxamide	n	C9H13N4O8P	-2		based on kegg	C04677 	CHEBI:18406	45266657	MNXM365	cpd02851	aicar	AICAR			111409		
PRPP	n	C5H8O14P3	-5		based on kegg	C00119	CHEBI:17111	20848918	MNXM91	cpd00103	prpp	PRPP			73566		
O-phospho-4-hydroxy-L-threonine	c	C4H8NO7P	-2		based on kegg	C06055 	CHEBI:18336	45480653	MNXM759		phthr	4-PHOSPHONOOXY-THREONINE					
2-oxo-3-hydroxy-4-phosphobutanoate	c	C4H4O8P	-3		based on kegg	C06054	CHEBI:27951	45266680	MNXM1514	cpd03606	ohpb	3OH-4P-OH-ALPHA-KETOBUTYRATE					
FMNH2	m	C17H21N4O9P	-2		based on kegg	C01847	CHEBI:57618	44229161	MNXM208	cpd01270	fmnh2	FMNH2					
5-amino-4-imidazolecarboxyamide	n	C4H6N4O	0		based on kegg	C04051	CHEBI:2030	9679	MNXM736125								
cadaverine	c	C5H16N2	2		based on kegg	C01672	CHEBI:18127	3718401	MNXM943	cpd01155	15dap	CADAVERINE					
cadaverine	n	C5H16N2	2		based on kegg	C01672	CHEBI:18127	3718401	MNXM943	cpd01155	15dap	CADAVERINE					
5'-S-methyl-5'-thioadenosine	n	C11H15N5O3S	0		based on kegg	C00170	CHEBI:180963	439176	MNXM150	cpd00147	5mta	5-METHYLTHIOADENOSINE					
5-methyltetrahydrofolate	m	C20H23N7O6	-2		based on kegg	C00440	CHEBI:18608	135398560	MNXM318	cpd00345	5mthf	5-METHYL-THF					
S-adenosylmethioninamine	n	C14H24N6O3S	2		based on kegg	C01137	CHEBI:57443	25203490	MNXM321	cpd00837	ametam	S-ADENOSYLMETHIONINAMINE					
aminopropylcadaverine	n	C8H24N3	3		based on kegg	C16565	CHEBI:64858	25246266	MNXM6170	cpd16379		CPD0-1065					
aminopropylcadaverine	c	C8H24N3	3		based on kegg	C16565	CHEBI:64858	25246266	MNXM6170	cpd16379		CPD0-1065					
2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate	c	C7H7NO6PS	-3		based on kegg	C20247		46942369	MNXM4961								
2-hydroxyglutarate	m	C5H6O5	-2		based on kegg	C02630	CHEBI:11596	4609868	MNXM1210			2-HYDROXYGLUTARIC_ACID					
dehydroalanine	m	C3H5NO2	0		based on kegg	C02218 	CHEBI:17123	123991	MNXM3414	cpd01495		2-AMINOACRYLATE					
D-ribofuranose	c	C5H10O5	0		based on chebi		ChEBI:47013	5779	MNXM1108051			D-Ribofuranose					
D-ribofuranose	n	C5H10O5	0		based on chebi		ChEBI:47013	5779	MNXM1108051			D-Ribofuranose					
farnesyl diphosphate	v	C15H25O7P2	-3		based on kegg	C00448	ChEBI:175763	445713	MNXM1103344								
farnesol	c	C15H26O	0		based on kegg	C01126		445070	MNXM727075								
farnesol	v	C15H26O	0		based on kegg	C01126		445070	MNXM727075								
D-ribulose	c	C5H10O5	0		based on kegg	C00309	ChEBI:17173	151261	MNXM41271	cpd00258		D-RIBULOSE					
cytosine	n	C4H5N3O	0		based on metacyc	C00380	ChEBI:16040	597	MNXM761	cpd00307	csn	CYTOSINE					
diphosphate	v	HO7P2	-3		based on metacyc	C00013	ChEBI:33019	1023			ppi	PPI					
3-demethylubiquinol-6	m	C38H58O4	0		based on metacyc		ChEBI:64253	25246205	MNXM740444								
oxalosuccinate	m	C6H3O7	-3		based on kegg	C05379	CHEBI:7815	25244267	MNXM1289	cpd03187		OXALO-SUCCINATE					
2-deoxy-D-ribose 1-phosphate	c	C5H9O7P	-2		based on kegg	C00672	CHEBI:11563	23419734	MNXM789		2dr1p	DEOXY-D-RIBOSE-1-PHOSPHATE			112032		
glutaryl-CoA	m	C26H37N7O19P3S	-5		based on kegg	C00527	CHEBI:57378	45266604	MNXM1104451								
sucrose 6-phosphate	c	C12H21O14P	-2		based on kegg	C16688	CHEBI:131603	644101	MNXM725920								
"4-(2-amino-3-hydroxyphenyl)-2,4-dioxobutanoate"	c	C10H8NO5	-1		based on kegg	C05645	CHEBI:27593	440741	MNXM4997								
"4-(2-amino-3-hydroxyphenyl)-2,4-dioxobutanoate"	m	C10H8NO5	-1		based on kegg	C05645	CHEBI:27593	440741	MNXM4997								
trans-oct-2-enoyl-CoA	m	C29H44N7O17P3S	-4		based on kegg	C05276 	CHEBI:27537	46173358	MNXM784	cpd03130	oc2coa	CPD0-2108					
3-hydroxy-L-kynurenine	m	C10H12N2O4	0		based on kegg	C03227 	CHEBI:17380	11811									
3-hydroxyisobutyryl-CoA	m	C25H38N7O18P3S	-4		based on kegg	C06000	CHEBI:28259		MNXM728564								
3-hydroxyisobutyrate	m	C4H7O3	-1		based on kegg	C06001	CHEBI:62638	18637352	MNXM114176			CPD-12175					
"meso-2,3-butanediol"	c	C4H10O2	0		based on kegg	C20657		220010	MNXM9502								
"meso-2,3-butanediol"	n	C4H10O2	0		based on kegg	C20657		220010	MNXM9502								
acetoin	c	C4H8O2	0		based on kegg	C01769 	CHEBI:15687	447765	MNXM1967	cpd01221		CPD-255					
acetoin	n	C4H8O2	0		based on kegg	C01769 	CHEBI:15687	447765	MNXM1967	cpd01221		CPD-255					
5-methylcytosine	c	C5H7N3O	0		based on kegg	C02376	ChEBI:27551	65040	MNXM3509	cpd01587		CPD0-2018					
5-methylcytosine	n	C5H7N3O	0		based on kegg	C02376	ChEBI:27551	65041	MNXM3510	cpd01588		CPD0-2019					
thymine	n	C5H6N2O2	0		based on kegg	C00178	CHEBI:17821	1135	MNXM386	cpd00151	thym	THYMINE			83960		
thymine	c	C5H6N2O2	0		based on kegg	C00178	CHEBI:17821	1135	MNXM386	cpd00151	thym	THYMINE			83960		
prenylated FMNH2	m	C22H29N4O9P	-2		based on kegg	C21215		102515050	MNXM165083			CPD-18260					
3-sulfinylpyruvate	c	C3H2O5S	-2		based on kegg	C05527	CHEBI:1665	110	MNXM2484								
3-sulfinylpyruvate	p	C3H2O5S	-2		based on kegg	C05527	CHEBI:1665	110	MNXM2484								
folate	m	C19H17N7O6	-2		based on kegg	C00504 	CHEBI:62501	135761165	MNXM617	cpd00393		CPD-12826					
3-sulfino-L-alanine	p	C3H6NO4S	-1		based on kegg	C00606 	CHEBI:61085	1549097	MNXM498	cpd00467	3sala	3-SULFINOALANINE			1614519		
2-trans-dodecenoyl-CoA	m	C33H52N7O17P3S	-4		based on kegg	C03221	CHEBI:15471	45266564	MNXM642	cpd02060	dd2coa	CPD-7222					
L-1-pyrroline-3-hydroxy-5-carboxylate	m	C5H7NO3	0		based on kegg	C04281 	CHEBI:6151	11966267	MNXM848								
lauroyl-CoA	m	C33H54N7O17P3S	-4		based on kegg	C01832	ChEBI:57375	25113193	MNXM363	cpd01260	ddcacoa	LAUROYLCOA-CPD					
ITP	m	C10H11N4O14P3	-4		based on kegg	C00081	CHEBI:61402	160419	MNXM25	cpd00036	succ	SUC					
IDP	m	C10H11N4O11P2	-3		based on kegg	C00104 	CHEBI:58280	135573953	MNXM495	cpd00090	idp	IDP					
dTTP	gm	C10H13N2O14P3	-4		based on kegg	C00459	CHEBI:58370	11988283	MNXM394	cpd00357	"	dttp"	TTP					
dTDP	gm	C10H13N2O11P2	-3		based on kegg	C00363	CHEBI:58369	21124327	MNXM152	cpd00297	dtdp	TDP					
deamido-NAD(+)	p	C21H24N6O15P2	-2		based on kegg	C00857	CHEBI:58437	45266646	MNXM309	cpd00638	dnad	DEAMIDO-NAD					
nicotinic acid D-ribonucleotide	p	C11H12NO9P	-2		based on kegg	C01185	CHEBI:15763	46878382	MNXM194	cpd00873	nicrnt	NICOTINATE_NUCLEOTIDE					
GTP	erm	C10H12N5O14P3	-4		based on kegg	C00044	CHEBI:57600	135398632	MNXM51	cpd00038	gtp	GTP					
"P(1),P(3)-bis(5'-adenosyl) triphosphate"	c	C20H24N10O16P3	-3		based on kegg	C06197	CHEBI:27775	25201180	MNXM3683	cpd03705		ADENOSINE5TRIPHOSPHO5ADENOSINE					
acetyl adenylate	m	C12H15N5O8P	-1		based on kegg	C05993	CHEBI:37666	440867	MNXM1103443								
D-phenylalanine	n	C9H11NO2	0		based on kegg	C02265	CHEBI:16998	6919011	MNXM2365	cpd01526		CPD-216					
N-acetyl-D-phenylalanine	n	C11H13NO3	0		based on kegg	C05620	CHEBI:28203	101184	MNXM8908								
dATP	m	C10H12N5O12P3	-4		based on kegg	C00131	CHEBI:61404		MNXM286		datp						
dADP	m	C10H12N5O9P2	-3		based on kegg	C00206	CHEBI:57667		MNXM374		dadp						
oxalosuccinate	c	C6H3O7	-3		based on kegg	C05379	CHEBI:7815	25244267	MNXM1289	cpd03187		OXALO-SUCCINATE					
oxalosuccinate	p	C6H3O7	-3		based on kegg	C05379	CHEBI:7815	25244267	MNXM1289	cpd03187		OXALO-SUCCINATE					
pyruvate	p	C3H3O3	-1		based on kegg	C00022	CHEBI:15361		MNXM23		pyr						
dGTP	p	C10H12N5O13P3	-4		based on kegg	C00286	CHEBI:57794		MNXM344		dgtp						
phosphoenolpyruvate	p	C3H2O6P	-3		based on kegg	C00074	CHEBI:58702		MNXM73		pep						
dGDP	p	C10H12N5O10P2	-3		based on kegg	C00361	CHEBI:58595		MNXM436		dgdp						
dGTP	m	C10H12N5O13P3	-4		based on kegg	C00286	CHEBI:57794		MNXM344		dgtp						
dGDP	m	C10H12N5O10P2	-3		based on kegg	C00361	CHEBI:58595		MNXM436		dgdp						
3-sulfino-L-alanine	m	C3H6NO4S	-1		based on kegg	C00606 	CHEBI:61085	1549097	MNXM498	cpd00467	3sala	3-SULFINOALANINE			1614519		
3-sulfinylpyruvate	m	C3H2O5S	-2		based on kegg	C05527	CHEBI:1665	110	MNXM2484								
