index	rxnNames	metNames	comps	coefficient
5	L-glutamate gamma-semialdehyde:NAD+ oxidoreductase	L-glutamate	m	1
5	L-glutamate gamma-semialdehyde:NAD+ oxidoreductase	H+	m	2
6	"2,5-dioxopentanoate:NADP+ 5-oxidoreductase"	H2O	c	-1
6	"2,5-dioxopentanoate:NADP+ 5-oxidoreductase"	NADP(+)	c	-1
6	"2,5-dioxopentanoate:NADP+ 5-oxidoreductase"	"2,5-Dioxopentanoate"	c	-1
6	"2,5-dioxopentanoate:NADP+ 5-oxidoreductase"	NADPH	c	1
6	"2,5-dioxopentanoate:NADP+ 5-oxidoreductase"	2-oxoglutarate	c	1
6	"2,5-dioxopentanoate:NADP+ 5-oxidoreductase"	H+	c	2
7	"GTP 8,9-hydrolase"	H2O	c	-1
7	"GTP 8,9-hydrolase"	GTP	c	-1
7	"GTP 8,9-hydrolase"	H+	c	-1
7	"GTP 8,9-hydrolase"	Formamidopyrimidine nucleoside triphosphate	c	1
8	"GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)"	GTP	m	-1
8	"GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)"	diphosphate	m	1
8	"GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)"	"3',5'-cyclic GMP"	m	1
9	ATP:cytidine 5'-phosphotransferase	ATP	c	-1
9	ATP:cytidine 5'-phosphotransferase	cytidine	c	-1
9	ATP:cytidine 5'-phosphotransferase	ADP	c	1
9	ATP:cytidine 5'-phosphotransferase	CMP	c	1
9	ATP:cytidine 5'-phosphotransferase	H+	c	1
10	(S)-ureidoglycolate urea-lyase (glyoxylate-forming)	S-Ureidoglycolate	c	-1
10	(S)-ureidoglycolate urea-lyase (glyoxylate-forming)	glyoxylate	c	1
10	(S)-ureidoglycolate urea-lyase (glyoxylate-forming)	urea	c	1
11	acetyl adenylate:CoA acetyltransferase	coenzyme A	c	-1
11	acetyl adenylate:CoA acetyltransferase	Acetyl adenylate	c	-1
11	acetyl adenylate:CoA acetyltransferase	AMP	c	1
11	acetyl adenylate:CoA acetyltransferase	acetyl-CoA	c	1
11	acetyl adenylate:CoA acetyltransferase	H+	c	1
12	acetyl-CoA:propanoyl-CoA 2-C-acetyltransferase;	acetyl-CoA	m	-1
12	acetyl-CoA:propanoyl-CoA 2-C-acetyltransferase;	propanoyl-CoA	m	-1
12	acetyl-CoA:propanoyl-CoA 2-C-acetyltransferase;	coenzyme A	m	1
12	acetyl-CoA:propanoyl-CoA 2-C-acetyltransferase;	2-Methylacetoacetyl-CoA	m	1
13	ATP:D-ribose-5-phosphate diphosphotransferase	ATP	c	-1
13	ATP:D-ribose-5-phosphate diphosphotransferase	D-ribose 5-phosphate	c	-1
13	ATP:D-ribose-5-phosphate diphosphotransferase	AMP	c	1
13	ATP:D-ribose-5-phosphate diphosphotransferase	5-Phospho-alpha-D-ribose 1-diphosphate	c	1
13	ATP:D-ribose-5-phosphate diphosphotransferase	H+	c	1
14	ATP:D-glyceraldehyde 3-phosphotransferase	ATP	c	-1
14	ATP:D-glyceraldehyde 3-phosphotransferase	D-glyceraldehyde	c	-1
14	ATP:D-glyceraldehyde 3-phosphotransferase	ADP	c	1
14	ATP:D-glyceraldehyde 3-phosphotransferase	glyceraldehyde 3-phosphate	c	1
14	ATP:D-glyceraldehyde 3-phosphotransferase	H+	c	1
15	"butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"	FAD	p	-1
15	"butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"	H+	p	-1
15	"butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"	butanoyl-CoA	p	-1
15	"butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"	crotonoyl-CoA	p	1
15	"butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"	FADH2	p	1
16	5-Methylcytosine aminohydrolase	H2O	n	-1
16	5-Methylcytosine aminohydrolase	H+	n	-1
16	5-Methylcytosine aminohydrolase	5-methylcytosine	n	-1
16	5-Methylcytosine aminohydrolase	ammonium	n	1
16	5-Methylcytosine aminohydrolase	thymine	n	1
17	adenosine:phosphate alpha-D-ribosyltransferase	phosphate	c	-1
17	adenosine:phosphate alpha-D-ribosyltransferase	adenosine	c	-1
17	adenosine:phosphate alpha-D-ribosyltransferase	adenine	c	1
17	adenosine:phosphate alpha-D-ribosyltransferase	alpha-D-Ribose-1-phosphate	c	1
18	D-glucose 1-epimerase	alpha-D-Glucose	c	-1
18	D-glucose 1-epimerase	beta-D-Glucose	c	1
19	APS:ATP adenylyltransferase	ATP	c	-1
19	APS:ATP adenylyltransferase	5'-adenylyl sulfate	c	-1
19	APS:ATP adenylyltransferase	Sulfate	c	1
19	APS:ATP adenylyltransferase	"P1,P4-Bis(5'-adenosyl)tetraphosphate"	c	1
20	Glycerol:NAD+ oxidoreductase	NAD	c	-1
20	Glycerol:NAD+ oxidoreductase	glycerol	c	-1
20	Glycerol:NAD+ oxidoreductase	NADH	c	1
20	Glycerol:NAD+ oxidoreductase	H+	c	1
20	Glycerol:NAD+ oxidoreductase	D-glyceraldehyde	c	1
21	L-Homoserine:NAD+ oxidoreductase	NAD	n	-1
21	L-Homoserine:NAD+ oxidoreductase	L-homoserine	n	-1
21	L-Homoserine:NAD+ oxidoreductase	NADH	n	1
21	L-Homoserine:NAD+ oxidoreductase	H+	n	1
21	L-Homoserine:NAD+ oxidoreductase	L-aspartate 4-semialdehyde	n	1
22	L-Homoserine:NAD+ oxidoreductase	NADP(+)	n	-1
22	L-Homoserine:NAD+ oxidoreductase	L-homoserine	n	-1
22	L-Homoserine:NAD+ oxidoreductase	NADPH	n	1
22	L-Homoserine:NAD+ oxidoreductase	H+	n	1
22	L-Homoserine:NAD+ oxidoreductase	L-aspartate 4-semialdehyde	n	1
23	L-Kynurenine:2-oxoglutarate aminotransferase	2-oxoglutarate	m	-1
23	L-Kynurenine:2-oxoglutarate aminotransferase	L-kynurenine	m	-1
23	L-Kynurenine:2-oxoglutarate aminotransferase	L-glutamate	m	1
23	L-Kynurenine:2-oxoglutarate aminotransferase	"4-(2-Aminophenyl)-2,4-dioxobutanoate"	m	1
24	L-Kynurenine:2-oxoglutarate aminotransferase	2-oxoglutarate	m	-1
24	L-Kynurenine:2-oxoglutarate aminotransferase	L-kynurenine	m	-1
24	L-Kynurenine:2-oxoglutarate aminotransferase	H2O	m	1
24	L-Kynurenine:2-oxoglutarate aminotransferase	kynurenate	m	1
24	L-Kynurenine:2-oxoglutarate aminotransferase	L-glutamate	m	1
24	L-Kynurenine:2-oxoglutarate aminotransferase	H+	m	1
25	"1,4-alpha-D-Glucan:1,4-alpha-D-glucan 6-alpha-D-(1,4-alpha-D-glucano)-transferase"	Amylose	c	-1
25	"1,4-alpha-D-Glucan:1,4-alpha-D-glucan 6-alpha-D-(1,4-alpha-D-glucano)-transferase"	Starch	c	1
26	retinol:NAD+ oxidoreductase	NAD	c	-1
26	retinol:NAD+ oxidoreductase	Retinol	c	-1
26	retinol:NAD+ oxidoreductase	NADH	c	1
26	retinol:NAD+ oxidoreductase	H+	c	1
26	retinol:NAD+ oxidoreductase	Retinal	c	1
27	retinol:NAD+ oxidoreductase	NADP(+)	c	-1
27	retinol:NAD+ oxidoreductase	S-(hydroxymethyl)glutathione	c	-1
27	retinol:NAD+ oxidoreductase	H+	c	1
27	retinol:NAD+ oxidoreductase	NADPH	c	1
27	retinol:NAD+ oxidoreductase	S-formylglutathione	c	1
28	"5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase"	NAD	n	-1
28	"5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase"	Tetrahydrofolate	n	-1
28	"5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase"	NADH	n	1
28	"5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase"	H+	n	1
28	"5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase"	Dihydrofolate	n	1
29	nicotinamide ribonucleotide phosphohydrolase	H2O	c	-1
29	nicotinamide ribonucleotide phosphohydrolase	Nicotinamide D-ribonucleotide	c	-1
29	nicotinamide ribonucleotide phosphohydrolase	phosphate	c	1
29	nicotinamide ribonucleotide phosphohydrolase	Nicotinamide-beta-riboside	c	1
29	nicotinamide ribonucleotide phosphohydrolase	H+	c	1
30	Aldehyde:NADP+ oxidoreductase	H2O	v	-1
30	Aldehyde:NADP+ oxidoreductase	NADP(+)	v	-1
30	Aldehyde:NADP+ oxidoreductase	phenylacetaldehyde	v	-1
30	Aldehyde:NADP+ oxidoreductase	NADPH	v	1
30	Aldehyde:NADP+ oxidoreductase	H+	v	2
30	Aldehyde:NADP+ oxidoreductase	phenylacetic acid	v	1
31	p-cumic alcohol:NAD+ oxidoreductase	H2O	m	-1
31	p-cumic alcohol:NAD+ oxidoreductase	NAD	m	-1
31	p-cumic alcohol:NAD+ oxidoreductase	Betaine aldehyde	m	-1
31	p-cumic alcohol:NAD+ oxidoreductase	NADH	m	1
31	p-cumic alcohol:NAD+ oxidoreductase	H+	m	2
31	p-cumic alcohol:NAD+ oxidoreductase	Betaine	m	1
32	p-cumic alcohol:NAD+ oxidoreductase	H2O	m	-1
32	p-cumic alcohol:NAD+ oxidoreductase	NADP(+)	m	-1
32	p-cumic alcohol:NAD+ oxidoreductase	propanal	m	-1
32	p-cumic alcohol:NAD+ oxidoreductase	H+	m	1
32	p-cumic alcohol:NAD+ oxidoreductase	NADPH	m	1
32	p-cumic alcohol:NAD+ oxidoreductase	propionate	m	1
36	L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase;	ATP	c	-1
36	L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase;	H+	c	-1
36	L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase;	L-2-aminoadipate	c	-1
36	L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase;	diphosphate	c	1
36	L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase;	L-2-aminoadipateadenylate	c	1
37	guanosine 3'-diphosphate 5'-triphosphate 5'-phosphohydrolase	H2O	c	-1
37	guanosine 3'-diphosphate 5'-triphosphate 5'-phosphohydrolase	Guanosine-3'-diphosphate 5'-triphosphate	c	-1
37	guanosine 3'-diphosphate 5'-triphosphate 5'-phosphohydrolase	phosphate	c	1
37	guanosine 3'-diphosphate 5'-triphosphate 5'-phosphohydrolase	"Guanosine-3',5'-bis(diphosphate)"	c	1
37	guanosine 3'-diphosphate 5'-triphosphate 5'-phosphohydrolase	H+	c	1
38	UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase	UDP-D-glucose	c	-1
38	UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase	Glycogenin	c	-1
38	UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase	UDP	c	1
38	UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase	alpha-D-Glucosylglycogenin	c	1
38	UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase	H+	c	1
39	UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase	L-tyrosine	c	-1
39	UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase	UDP-D-glucose	c	-1
39	UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase	alpha-D-glucosyl-L-tyrosine	c	1
39	UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase	H+	c	1
39	UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase	UDP	c	1
39	UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase	H2O	c	1
40	acetyl-CoA:D-amino-acid N-acetyltransferase	acetyl-CoA	c	-1
40	acetyl-CoA:D-amino-acid N-acetyltransferase	D-phenylalanine	c	-1
40	acetyl-CoA:D-amino-acid N-acetyltransferase	coenzyme A	c	1
40	acetyl-CoA:D-amino-acid N-acetyltransferase	N-acetyl-D-phenylalanine	c	1
42	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase	AMP	c	-1
42	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase	diphosphate	c	-1
42	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase	5-Phospho-alpha-D-ribose 1-diphosphate	c	1
42	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase	adenine	c	1
43	L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase;	S-2-amino-6-oxohexanoate	c	-1
43	L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase;	H2O	c	-1
43	L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase;	NADP(+)	c	-1
43	L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase;	H+	c	2
43	L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase;	L-2-aminoadipate	c	1
43	L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase;	NADPH	c	1
46	R03158	coenzyme A	m	-1
46	R03158	H+	m	-1
46	R03158	3-Hydroxypropanoate	m	-1
46	R03158	H2O	m	1
46	R03158	3-Hydroxypropionyl-CoA	m	1
47	O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase	2-oxoglutarate	c	-1
47	O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase	O-Phospho-4-hydroxy-L-threonine	c	-1
47	O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase	L-glutamate	c	1
47	O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase	2-Oxo-3-hydroxy-4-phosphobutanoate	c	1
48	ATP:1D-myo-inositol-hexakisphosphate phosphotransferase	ATP	c	-1
48	ATP:1D-myo-inositol-hexakisphosphate phosphotransferase	Phytic acid	c	-1
48	ATP:1D-myo-inositol-hexakisphosphate phosphotransferase	ADP	c	1
48	ATP:1D-myo-inositol-hexakisphosphate phosphotransferase	1-Diphosinositol pentakisphosphate	c	1
49	(2R)-3-sulfolactate:NAD+ oxidoreductase	NAD	m	-1
49	(2R)-3-sulfolactate:NAD+ oxidoreductase	3-Sulfolactate	m	-1
49	(2R)-3-sulfolactate:NAD+ oxidoreductase	NADH	m	1
49	(2R)-3-sulfolactate:NAD+ oxidoreductase	H+	m	1
49	(2R)-3-sulfolactate:NAD+ oxidoreductase	3-Sulfopyruvate	m	1
50	5-methyltetrahydrofolate:NAD+ oxidoreductase	NAD	c	-1
50	5-methyltetrahydrofolate:NAD+ oxidoreductase	5-methyltetrahydrofolate	c	-1
50	5-methyltetrahydrofolate:NAD+ oxidoreductase	NADH	c	1
50	5-methyltetrahydrofolate:NAD+ oxidoreductase	H+	c	1
50	5-methyltetrahydrofolate:NAD+ oxidoreductase	"5,10-methylenetetrahydrofolate"	c	1
52	R07481	S-adenosyl-L-methionine	m	-1
52	R07481	Cycloartenol	m	-1
52	R07481	S-adenosyl-L-homocysteine	m	1
52	R07481	24-Methylenecycloartanol	m	1
52	R07481	H+	m	1
53	R07494	NADP(+)	er	-1
53	R07494	4alpha-Methylzymosterol-4-carboxylate	er	-1
53	R07494	NADPH	er	1
53	R07494	carbon dioxide	er	1
53	R07494	3-Keto-4-methylzymosterol	er	1
55	6-thioinosine 5'-monophosphate:NAD+ oxidoreductase	H2O	c	-1
55	6-thioinosine 5'-monophosphate:NAD+ oxidoreductase	NAD	c	-1
55	6-thioinosine 5'-monophosphate:NAD+ oxidoreductase	6-Thioinosine-5'-phosphate	c	-1
55	6-thioinosine 5'-monophosphate:NAD+ oxidoreductase	NADH	c	1
55	6-thioinosine 5'-monophosphate:NAD+ oxidoreductase	H+	c	1
55	6-thioinosine 5'-monophosphate:NAD+ oxidoreductase	6-Thioxanthine 5'-phosphate	c	1
56	S-adenosylmethioninamine:cadaverine 3-aminopropyltransferase	S-adenosylmethioninamine	c	-1
56	S-adenosylmethioninamine:cadaverine 3-aminopropyltransferase	Cadaverine	c	-1
56	S-adenosylmethioninamine:cadaverine 3-aminopropyltransferase	5'-Methylthioadenosine	c	1
56	S-adenosylmethioninamine:cadaverine 3-aminopropyltransferase	Aminopropylcadaverine	c	1
56	S-adenosylmethioninamine:cadaverine 3-aminopropyltransferase	H+	c	1
60	"(2R,3S)-3-isopropylmalate:NAD+ oxidoreductase"	NAD	c	-1
60	"(2R,3S)-3-isopropylmalate:NAD+ oxidoreductase"	"(2R,3S)-3-isopropylmalate"	c	-1
60	"(2R,3S)-3-isopropylmalate:NAD+ oxidoreductase"	NADH	c	1
60	"(2R,3S)-3-isopropylmalate:NAD+ oxidoreductase"	carbon dioxide	c	1
60	"(2R,3S)-3-isopropylmalate:NAD+ oxidoreductase"	4-methyl-2-oxopentanoate	c	1
61	"(2R,3S)-3-isopropylmalate hydro-lyase (2-isopropylmaleate-forming)"	alpha-isopropylmalate	c	-1
61	"(2R,3S)-3-isopropylmalate hydro-lyase (2-isopropylmaleate-forming)"	"(2R,3S)-3-isopropylmalate"	c	1
63	2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate 2-methyl-4-aminopyrimidine-5-methenyltransferase	4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate	c	-1
63	2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate 2-methyl-4-aminopyrimidine-5-methenyltransferase	H+	c	-2
63	2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate 2-methyl-4-aminopyrimidine-5-methenyltransferase	2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate	c	-1
63	2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate 2-methyl-4-aminopyrimidine-5-methenyltransferase	carbon dioxide	c	1
63	2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate 2-methyl-4-aminopyrimidine-5-methenyltransferase	diphosphate	c	1
63	2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate 2-methyl-4-aminopyrimidine-5-methenyltransferase	Thiamin phosphate	c	1
65	dimethylallyl-phosphate:FMNH2 prenyltransferase	FMNH2	m	-1
65	dimethylallyl-phosphate:FMNH2 prenyltransferase	dimethylallyl phosphate	m	-1
65	dimethylallyl-phosphate:FMNH2 prenyltransferase	phosphate	m	1
65	dimethylallyl-phosphate:FMNH2 prenyltransferase	prenylated FMNH2	m	1
66	(R)-2-hydroxyglutarate:pyruvate oxidoreductase [(R)-lactate-forming]	pyruvate	m	-1
66	(R)-2-hydroxyglutarate:pyruvate oxidoreductase [(R)-lactate-forming]	2-hydroxyglutarate	m	-1
66	(R)-2-hydroxyglutarate:pyruvate oxidoreductase [(R)-lactate-forming]	2-oxoglutarate	m	1
66	(R)-2-hydroxyglutarate:pyruvate oxidoreductase [(R)-lactate-forming]	(R)-lactate	m	1
67	acetyl-CoA:L-glutamate-5-semialdehyde N-acetyltransferase	acetyl-CoA	n	-1
67	acetyl-CoA:L-glutamate-5-semialdehyde N-acetyltransferase	L-glutamic 5-semialdehyde	n	-1
67	acetyl-CoA:L-glutamate-5-semialdehyde N-acetyltransferase	coenzyme A	n	1
67	acetyl-CoA:L-glutamate-5-semialdehyde N-acetyltransferase	N-acetyl-L-glutamic 5-semialdehyde	n	1
68	L-serine hydro-lyase	L-serine	m	-1
68	L-serine hydro-lyase	H2O	m	1
68	L-serine hydro-lyase	Dehydroalanine	m	1
70	cytidine nucleosidase	cytidine	c	-1
70	cytidine nucleosidase	H2O	c	-1
70	cytidine nucleosidase	cytosine	c	1
70	cytidine nucleosidase	D-Ribofuranose	c	1
71	L-aspartate:ammonia ligase (AMP-forming);asparagine synthetase	ammonium	c	-1
71	L-aspartate:ammonia ligase (AMP-forming);asparagine synthetase	ATP	c	-1
71	L-aspartate:ammonia ligase (AMP-forming);asparagine synthetase	L-aspartate	c	-1
71	L-aspartate:ammonia ligase (AMP-forming);asparagine synthetase	AMP	c	1
71	L-aspartate:ammonia ligase (AMP-forming);asparagine synthetase	L-asparagine	c	1
71	L-aspartate:ammonia ligase (AMP-forming);asparagine synthetase	diphosphate	c	1
71	L-aspartate:ammonia ligase (AMP-forming);asparagine synthetase	H+	c	1
72	"(E,E,)-farnesol synthase;(2E,6E)-farnesyl diphosphate phosphatase"	farnesyl diphosphate	v	-1
72	"(E,E,)-farnesol synthase;(2E,6E)-farnesyl diphosphate phosphatase"	H2O	v	-1
72	"(E,E,)-farnesol synthase;(2E,6E)-farnesyl diphosphate phosphatase"	farnesol	v	1
72	"(E,E,)-farnesol synthase;(2E,6E)-farnesyl diphosphate phosphatase"	diphosphate	v	1
73	saccharopine dehydrogenase	NAD	c	-1
73	saccharopine dehydrogenase	L-saccharopine	c	-1
73	saccharopine dehydrogenase	H2O	c	-1
73	saccharopine dehydrogenase	S-2-amino-6-oxohexanoate	c	1
73	saccharopine dehydrogenase	L-glutamate	c	1
73	saccharopine dehydrogenase	NADH	c	1
73	saccharopine dehydrogenase	H+	c	1
74	lysine-ketoglutarate reductase;L-lysine-alpha-ketoglutarate reductase	2-oxoglutarate	c	-1
74	lysine-ketoglutarate reductase;L-lysine-alpha-ketoglutarate reductase	L-lysine	c	-1
74	lysine-ketoglutarate reductase;L-lysine-alpha-ketoglutarate reductase	NADPH	c	-1
74	lysine-ketoglutarate reductase;L-lysine-alpha-ketoglutarate reductase	H+	c	-1
74	lysine-ketoglutarate reductase;L-lysine-alpha-ketoglutarate reductase	NADP(+)	c	1
74	lysine-ketoglutarate reductase;L-lysine-alpha-ketoglutarate reductase	L-saccharopine	c	1
74	lysine-ketoglutarate reductase;L-lysine-alpha-ketoglutarate reductase	H2O	c	1
75	"2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol O-methyltransferase"	3-demethylubiquinol-6	m	-1
75	"2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol O-methyltransferase"	S-adenosyl-L-methionine	m	-1
75	"2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol O-methyltransferase"	S-adenosyl-L-homocysteine	m	1
75	"2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol O-methyltransferase"	H+	m	1
75	"2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol O-methyltransferase"	ubiquinol-6	m	1
77	D-ribulokinase	ATP	c	-1
77	D-ribulokinase	D-ribulose	c	-1
77	D-ribulokinase	ADP	c	1
77	D-ribulokinase	H+	c	1
77	D-ribulokinase	D-ribulose 5-phosphate	c	1
78	ATP-dependent NADH-hydrate dehydratase	ATP	c	-1
78	ATP-dependent NADH-hydrate dehydratase	NADHX	c	-1
78	ATP-dependent NADH-hydrate dehydratase	ADP	c	1
78	ATP-dependent NADH-hydrate dehydratase	NADH	c	1
78	ATP-dependent NADH-hydrate dehydratase	H+	c	1
78	ATP-dependent NADH-hydrate dehydratase	phosphate	c	1
80	2-ketoglutarate dehydrogenase;dihydrolipoamide dehydrogenase;2-oxoglutarate dehydrogenase	2-oxoglutarate	m	-1
80	2-ketoglutarate dehydrogenase;dihydrolipoamide dehydrogenase;2-oxoglutarate dehydrogenase	coenzyme A	m	-1
80	2-ketoglutarate dehydrogenase;dihydrolipoamide dehydrogenase;2-oxoglutarate dehydrogenase	NAD	m	-1
80	2-ketoglutarate dehydrogenase;dihydrolipoamide dehydrogenase;2-oxoglutarate dehydrogenase	carbon dioxide	m	1
80	2-ketoglutarate dehydrogenase;dihydrolipoamide dehydrogenase;2-oxoglutarate dehydrogenase	NADH	m	1
80	2-ketoglutarate dehydrogenase;dihydrolipoamide dehydrogenase;2-oxoglutarate dehydrogenase	succinyl-CoA	m	1
86	ATP:acetate adenylyltransferase	ATP	c	-1
86	ATP:acetate adenylyltransferase	H+	c	-1
86	ATP:acetate adenylyltransferase	acetate	c	-1
86	ATP:acetate adenylyltransferase	diphosphate	c	1
86	ATP:acetate adenylyltransferase	Acetyl adenylate	c	1
87	UTP:cytidine 5'-phosphotransferase	UTP	c	-1
87	UTP:cytidine 5'-phosphotransferase	cytidine	c	-1
87	UTP:cytidine 5'-phosphotransferase	UDP	c	1
87	UTP:cytidine 5'-phosphotransferase	CMP	c	1
87	UTP:cytidine 5'-phosphotransferase	H+	c	1
88	(S)-1-pyrroline-5-carboxylate:NADP+ oxidoreductase	H2O	m	-2
88	(S)-1-pyrroline-5-carboxylate:NADP+ oxidoreductase	NADP(+)	m	-1
88	(S)-1-pyrroline-5-carboxylate:NADP+ oxidoreductase	1-Pyrroline-5-carboxylate	m	-1
88	(S)-1-pyrroline-5-carboxylate:NADP+ oxidoreductase	NADPH	m	1
88	(S)-1-pyrroline-5-carboxylate:NADP+ oxidoreductase	L-glutamate	m	1
88	(S)-1-pyrroline-5-carboxylate:NADP+ oxidoreductase	H+	m	1
89	Succinate:CoA ligase (IDP-forming)	coenzyme A	c	-1
89	Succinate:CoA ligase (IDP-forming)	succinate	c	-1
89	Succinate:CoA ligase (IDP-forming)	ITP	c	-1
89	Succinate:CoA ligase (IDP-forming)	phosphate	c	1
89	Succinate:CoA ligase (IDP-forming)	succinyl-CoA	c	1
89	Succinate:CoA ligase (IDP-forming)	IDP	c	1
90	galactitol:NAD+ 1-oxidoreductase	NADH	c	-1
90	galactitol:NAD+ 1-oxidoreductase	H+	c	-1
